Query 1: || Iteration: 1: || Elapsed Time: 315
Query 1: || Iteration: 2: || Elapsed Time: 10
Query 1: || Iteration: 3: || Elapsed Time: 10
Query 1: || Iteration: 4: || Elapsed Time: 10
Query 1: || Iteration: 5: || Elapsed Time: 37
Query 1: || Iteration: 6: || Elapsed Time: 10
Query 1: || Iteration: 7: || Elapsed Time: 33
Query 1: || Iteration: 8: || Elapsed Time: 11
Query 1: || Iteration: 9: || Elapsed Time: 11
Query 1: || Iteration: 10: || Elapsed Time: 9
Query 2: || Iteration: 1: || Elapsed Time: 49
Query 2: || Iteration: 2: || Elapsed Time: 11
Query 2: || Iteration: 3: || Elapsed Time: 11
Query 2: || Iteration: 4: || Elapsed Time: 27
Query 2: || Iteration: 5: || Elapsed Time: 12
Query 2: || Iteration: 6: || Elapsed Time: 15
Query 2: || Iteration: 7: || Elapsed Time: 12
Query 2: || Iteration: 8: || Elapsed Time: 13
Query 2: || Iteration: 9: || Elapsed Time: 29
Query 2: || Iteration: 10: || Elapsed Time: 13
Query 3: || Iteration: 1: || Elapsed Time: 65
Query 3: || Iteration: 2: || Elapsed Time: 19
Query 3: || Iteration: 3: || Elapsed Time: 24
Query 3: || Iteration: 4: || Elapsed Time: 17
Query 3: || Iteration: 5: || Elapsed Time: 24
Query 3: || Iteration: 6: || Elapsed Time: 25
Query 3: || Iteration: 7: || Elapsed Time: 18
Query 3: || Iteration: 8: || Elapsed Time: 21
Query 3: || Iteration: 9: || Elapsed Time: 21
Query 3: || Iteration: 10: || Elapsed Time: 23
