Query 1: || Iteration: 1: || Elapsed Time: 2206
Query 1: || Iteration: 2: || Elapsed Time: 6
Query 1: || Iteration: 3: || Elapsed Time: 10
Query 1: || Iteration: 4: || Elapsed Time: 7
Query 1: || Iteration: 5: || Elapsed Time: 16
Query 1: || Iteration: 6: || Elapsed Time: 5
Query 1: || Iteration: 7: || Elapsed Time: 5
Query 1: || Iteration: 8: || Elapsed Time: 6
Query 1: || Iteration: 9: || Elapsed Time: 5
Query 1: || Iteration: 10: || Elapsed Time: 6
Query 2: || Iteration: 1: || Elapsed Time: 152
Query 2: || Iteration: 2: || Elapsed Time: 5
Query 2: || Iteration: 3: || Elapsed Time: 6
Query 2: || Iteration: 4: || Elapsed Time: 6
Query 2: || Iteration: 5: || Elapsed Time: 5
Query 2: || Iteration: 6: || Elapsed Time: 6
Query 2: || Iteration: 7: || Elapsed Time: 11
Query 2: || Iteration: 8: || Elapsed Time: 6
Query 2: || Iteration: 9: || Elapsed Time: 7
Query 2: || Iteration: 10: || Elapsed Time: 6
Query 3: || Iteration: 1: || Elapsed Time: 52
Query 3: || Iteration: 2: || Elapsed Time: 19
Query 3: || Iteration: 3: || Elapsed Time: 22
Query 3: || Iteration: 4: || Elapsed Time: 17
Query 3: || Iteration: 5: || Elapsed Time: 28
Query 3: || Iteration: 6: || Elapsed Time: 16
Query 3: || Iteration: 7: || Elapsed Time: 17
Query 3: || Iteration: 8: || Elapsed Time: 22
Query 3: || Iteration: 9: || Elapsed Time: 17
Query 3: || Iteration: 10: || Elapsed Time: 19
