Query 1: || Iteration: 1: || Elapsed Time: 0
Query 1: || Iteration: 2: || Elapsed Time: 0
Query 1: || Iteration: 3: || Elapsed Time: 0
Query 1: || Iteration: 4: || Elapsed Time: 0
Query 1: || Iteration: 5: || Elapsed Time: 0
Query 1: || Iteration: 6: || Elapsed Time: 0
Query 1: || Iteration: 7: || Elapsed Time: 0
Query 1: || Iteration: 8: || Elapsed Time: 0
Query 1: || Iteration: 9: || Elapsed Time: 0
Query 1: || Iteration: 10: || Elapsed Time: 0
Query 2: || Iteration: 1: || Elapsed Time: 1
Query 2: || Iteration: 2: || Elapsed Time: 0
Query 2: || Iteration: 3: || Elapsed Time: 0
Query 2: || Iteration: 4: || Elapsed Time: 0
Query 2: || Iteration: 5: || Elapsed Time: 0
Query 2: || Iteration: 6: || Elapsed Time: 0
Query 2: || Iteration: 7: || Elapsed Time: 0
Query 2: || Iteration: 8: || Elapsed Time: 0
Query 2: || Iteration: 9: || Elapsed Time: 0
Query 2: || Iteration: 10: || Elapsed Time: 0
Query 3: || Iteration: 1: || Elapsed Time: 2
Query 3: || Iteration: 2: || Elapsed Time: 0
Query 3: || Iteration: 3: || Elapsed Time: 0
Query 3: || Iteration: 4: || Elapsed Time: 0
Query 3: || Iteration: 5: || Elapsed Time: 0
Query 3: || Iteration: 6: || Elapsed Time: 0
Query 3: || Iteration: 7: || Elapsed Time: 0
Query 3: || Iteration: 8: || Elapsed Time: 0
Query 3: || Iteration: 9: || Elapsed Time: 0
Query 3: || Iteration: 10: || Elapsed Time: 0
